"module name","licenses","repository","licenseUrl","parents"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path","https://github.com/sindresorhus/is-binary-path/raw/master/license","learn-starter"
"is-boolean-object@1.1.1","MIT","https://github.com/inspect-js/is-boolean-object","https://github.com/inspect-js/is-boolean-object/raw/master/LICENSE","learn-starter"
"is-callable@1.2.3","MIT","https://github.com/ljharb/is-callable","https://github.com/ljharb/is-callable/raw/master/LICENSE","learn-starter"
"is-core-module@2.4.0","MIT","https://github.com/inspect-js/is-core-module","https://github.com/inspect-js/is-core-module/raw/master/LICENSE","learn-starter"
"is-date-object@1.0.4","MIT","https://github.com/inspect-js/is-date-object","https://github.com/inspect-js/is-date-object/raw/master/LICENSE","learn-starter"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob","https://github.com/jonschlinkert/is-extglob/raw/master/LICENSE","learn-starter"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point","https://github.com/sindresorhus/is-fullwidth-code-point/raw/master/license","learn-starter"
"is-generator-function@1.0.9","MIT","https://github.com/inspect-js/is-generator-function","https://github.com/inspect-js/is-generator-function/raw/master/LICENSE","learn-starter"
"is-glob@4.0.1","MIT","https://github.com/micromatch/is-glob","https://github.com/micromatch/is-glob/raw/master/LICENSE","learn-starter"
"is-nan@1.3.2","MIT","https://github.com/es-shims/is-nan","https://github.com/es-shims/is-nan/raw/master/LICENSE","learn-starter"
"is-negative-zero@2.0.1","MIT","https://github.com/inspect-js/is-negative-zero","https://github.com/inspect-js/is-negative-zero/raw/master/LICENSE","learn-starter"
"is-number-object@1.0.5","MIT","https://github.com/inspect-js/is-number-object","https://github.com/inspect-js/is-number-object/raw/master/LICENSE","learn-starter"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number","https://github.com/jonschlinkert/is-number/raw/master/LICENSE","learn-starter"
"is-regex@1.1.3","MIT","https://github.com/inspect-js/is-regex","https://github.com/inspect-js/is-regex/raw/master/LICENSE","learn-starter"
"is-string@1.0.6","MIT","https://github.com/ljharb/is-string","https://github.com/ljharb/is-string/raw/master/LICENSE","learn-starter"
"is-symbol@1.0.4","MIT","https://github.com/inspect-js/is-symbol","https://github.com/inspect-js/is-symbol/raw/master/LICENSE","learn-starter"
"is-typed-array@1.1.5","MIT","https://github.com/inspect-js/is-typed-array","https://github.com/inspect-js/is-typed-array/raw/master/LICENSE","learn-starter"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray","https://github.com/juliangruber/isarray","learn-starter"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe","https://github.com/isaacs/isexe/raw/master/LICENSE","learn-starter"
"jest-worker@27.0.0-next.5","MIT","https://github.com/facebook/jest","https://github.com/facebook/jest/raw/master/LICENSE","learn-starter"
"jju@1.4.0","MIT","https://github.com/rlidwka/jju","https://github.com/rlidwka/jju/raw/master/LICENSE","learn-starter"
"jquery-extend@2.0.3","MIT","https://github.com/dnukem/node-jquery-extend","https://github.com/dnukem/node-jquery-extend/raw/master/LICENSE","learn-starter"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens","https://github.com/lydell/js-tokens/raw/master/LICENSE","learn-starter"
"js-yaml@3.14.1","MIT","https://github.com/nodeca/js-yaml","https://github.com/nodeca/js-yaml/raw/master/LICENSE","learn-starter"
"json-parse-better-errors@1.0.2","MIT","https://github.com/zkat/json-parse-better-errors","https://github.com/zkat/json-parse-better-errors/raw/master/LICENSE.md","learn-starter"
"json-parse-helpfulerror@1.0.3","MIT","https://github.com/smikes/json-parse-helpfulerror","https://github.com/smikes/json-parse-helpfulerror/raw/master/LICENSE","learn-starter"
"json-schema-traverse@0.4.1","MIT","https://github.com/epoberezkin/json-schema-traverse","https://github.com/epoberezkin/json-schema-traverse/raw/master/LICENSE","learn-starter"
"json-schema-traverse@1.0.0","MIT","https://github.com/epoberezkin/json-schema-traverse","https://github.com/epoberezkin/json-schema-traverse/raw/master/LICENSE","table:learn-starter"
"json-stable-stringify-without-jsonify@1.0.1","MIT","https://github.com/samn/json-stable-stringify","https://github.com/samn/json-stable-stringify/raw/master/LICENSE","learn-starter"
"json5@1.0.1","MIT","https://github.com/json5/json5","https://github.com/json5/json5/raw/master/LICENSE.md","learn-starter"
"jsx-ast-utils@3.2.0","MIT","https://github.com/evcohen/jsx-ast-utils","https://github.com/evcohen/jsx-ast-utils/raw/master/LICENSE.md","learn-starter"
"language-subtag-registry@0.3.21","ODC-By-1.0","https://github.com/mattcg/language-subtag-registry","https://github.com/mattcg/language-subtag-registry/raw/master/LICENSE.md","learn-starter"
"language-tags@1.0.5","MIT","https://github.com/mattcg/language-tags","https://github.com/mattcg/language-tags","learn-starter"
"levn@0.4.1","MIT","https://github.com/gkz/levn","https://github.com/gkz/levn/raw/master/LICENSE","learn-starter"
"license-checker@1.0.0","BSD-3-Clause","https://github.com/davglass/license-checker","https://github.com/davglass/license-checker/raw/master/LICENSE","learn-starter"
"load-json-file@4.0.0","MIT","https://github.com/sindresorhus/load-json-file","https://github.com/sindresorhus/load-json-file/raw/master/license","learn-starter"
"loader-utils@1.2.3","MIT","https://github.com/webpack/loader-utils","https://github.com/webpack/loader-utils/raw/master/LICENSE","learn-starter"
"locate-path@2.0.0","MIT","https://github.com/sindresorhus/locate-path","https://github.com/sindresorhus/locate-path/raw/master/license","eslint-module-utils:learn-starter"
"locate-path@5.0.0","MIT","https://github.com/sindresorhus/locate-path","https://github.com/sindresorhus/locate-path/raw/master/license","learn-starter"
"lodash.clonedeep@4.5.0","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","learn-starter"
